x,y,cc,treatment,area,source
563735.4414686532,5705622.692702289,64.0,treated,inoculated,uas
563743.0993536672,5705622.692702289,73.0,treated,inoculated,uas
563712.4678136109,5705615.034817275,69.0,treated,inoculated,uas
563720.125698625,5705615.034817275,62.0,treated,inoculated,uas
563727.7835836391,5705615.034817275,61.0,treated,inoculated,uas
563735.4414686532,5705615.034817275,66.0,treated,inoculated,uas
563727.7835836391,5705607.376932261,59.0,treated,inoculated,uas
563628.2310784563,5705699.27155243,90.0,untreated,inoculated,uas
563635.8889634704,5705699.27155243,85.0,untreated,inoculated,uas
563620.5731934422,5705691.613667415,102.0,untreated,inoculated,uas
563628.2310784563,5705691.613667415,87.0,untreated,inoculated,uas
563635.8889634704,5705691.613667415,87.0,untreated,inoculated,uas
563643.5468484844,5705691.613667415,92.0,untreated,inoculated,uas
563612.9153084281,5705683.955782401,100.0,untreated,inoculated,uas
563620.5731934422,5705683.955782401,98.0,untreated,inoculated,uas
563628.2310784563,5705683.955782401,90.0,untreated,inoculated,uas
563635.8889634704,5705683.955782401,89.0,untreated,inoculated,uas
563643.5468484844,5705683.955782401,87.0,untreated,inoculated,uas
563651.2047334985,5705683.955782401,76.0,untreated,inoculated,uas
563612.9153084281,5705676.297897387,104.0,untreated,inoculated,uas
563620.5731934422,5705676.297897387,91.0,untreated,inoculated,uas
563628.2310784563,5705676.297897387,91.0,untreated,inoculated,uas
563635.8889634704,5705676.297897387,86.0,untreated,inoculated,uas
563643.5468484844,5705676.297897387,80.0,untreated,inoculated,uas
563651.2047334985,5705676.297897387,78.0,untreated,inoculated,uas
563620.5731934422,5705668.640012373,83.0,untreated,inoculated,uas
563628.2310784563,5705668.640012373,83.0,untreated,inoculated,uas
563635.8889634704,5705668.640012373,84.0,untreated,inoculated,uas
563643.5468484844,5705668.640012373,76.0,untreated,inoculated,uas
563628.2310784563,5705660.982127359,81.0,untreated,inoculated,uas
563635.8889634704,5705660.982127359,87.0,untreated,inoculated,uas
563620.5731934422,5705645.666357331,75.0,untreated,inoculated,uas
563628.2310784563,5705645.666357331,84.0,untreated,inoculated,uas
563612.9153084281,5705638.008472317,74.0,untreated,inoculated,uas
563620.5731934422,5705638.008472317,76.0,untreated,inoculated,uas
563628.2310784563,5705638.008472317,73.0,untreated,inoculated,uas
563635.8889634704,5705638.008472317,75.0,untreated,inoculated,uas
563605.257423414,5705630.350587303,81.0,untreated,inoculated,uas
563612.9153084281,5705630.350587303,71.0,untreated,inoculated,uas
563620.5731934422,5705630.350587303,73.0,untreated,inoculated,uas
563628.2310784563,5705630.350587303,74.0,untreated,inoculated,uas
563635.8889634704,5705630.350587303,70.0,untreated,inoculated,uas
563643.5468484844,5705630.350587303,68.0,untreated,inoculated,uas
563612.9153084281,5705622.692702289,69.0,untreated,inoculated,uas
563620.5731934422,5705622.692702289,70.0,untreated,inoculated,uas
563628.2310784563,5705622.692702289,77.0,untreated,inoculated,uas
563635.8889634704,5705622.692702289,69.0,untreated,inoculated,uas
563612.9153084281,5705615.034817275,67.0,untreated,inoculated,uas
563620.5731934422,5705615.034817275,69.0,untreated,inoculated,uas
563628.2310784563,5705615.034817275,75.0,untreated,inoculated,uas
563635.8889634704,5705615.034817275,70.0,untreated,inoculated,uas
563695.0,5705715.0,88.0,treated,non-inoculated,s2
563705.0,5705715.0,93.0,treated,non-inoculated,s2
563715.0,5705715.0,90.0,treated,non-inoculated,s2
563725.0,5705715.0,90.0,treated,non-inoculated,s2
563735.0,5705715.0,93.0,treated,non-inoculated,s2
563745.0,5705715.0,90.0,treated,non-inoculated,s2
563695.0,5705705.0,94.0,treated,non-inoculated,s2
563705.0,5705705.0,93.0,treated,non-inoculated,s2
563715.0,5705705.0,88.0,treated,non-inoculated,s2
